,id,name,review_count,rating,price_rank
33,hlnk-TwGtEAzJ7Aw_mnzTA,Grind Design,8,3.5,$$$
34,L3LmZhbIrKJl8i74-M0P7A,Jersey City Tattoo,80,4.5,$$
35,5bzfnGTmKHQfBT_xnnhCDg,Mare De La Noir,4,4.0,$$$$
36,0tgWt-8qLP-EzLnoEwulLw,Black Fish Tattoo,167,5.0,$
37,zHXxyVdsldTD8adPffMm3Q,The Bed-Stuy Tattooing,6,4.5,
38,zGRQUDktDuxe48O03o-dXQ,Armageddon Tattoo Studio,6,5.0,$$
39,UJ3yML2xADJnl46qhqSaKg,Not For Nothing Tattoos and Piercing,28,5.0,
40,qBKmC0i_Urh4GeByzsprLQ,Tattooing by Richie,24,4.0,$$
41,JPA_vql8WOl0yaLba7_HKA,Armageddon Ink Gallery,45,4.5,$$
42,smx8bYkAvBni1NiP30a1BA,Bardadim Studios,55,4.5,$$
43,3vEh-XQMQg0KglgeMIcPaQ,CJ Tattoo,28,4.5,$$
44,98nJ66nosb3g6R_s0y7ZmA,West4Tattoo,80,4.0,$$
45,iSlCoLU1kMxEnilVKjWDWA,Skinny Bone Tattoos & Piercings,1,5.0,
46,_1PGdWHDU0lMhkAAhLXtPw,Roses and Rebels,5,5.0,
47,E5B1EkhBg_AzLBbypeos1Q,Em Sixteen,39,5.0,$$
48,5PbdFx0Bww--8Y1B1h8Weg,7 Souls Tattoo - Jersey City,55,4.5,$$
49,nwYZJZjWvyNHKiVDHvM8MA,Lantern Tattoo,5,5.0,
0,ZuYvpTNsoZ7GDcu_7YUJPg,Behind The Circle,5,4.0,$$
1,1gZNMIAhd3qXMVGzkX5kuA,The End Is Near,354,4.5,$$
2,_XXd3ls8nxyH83KbLSEYTQ,Jo Simpelo Custom-Made Tattoos,2,5.0,
3,M4fY0tk0tdz-eYQy7aZROw,Hell's Kitchen Ink,77,4.0,$
4,76YND86bqz71tmUg_zesPg,Graveyard NYC,5,5.0,
5,1YGhuxHdFNGs911GckCxRg,Acqua Santa Tattoo,10,5.0,$$$
6,ZBkUx4F48GfnL_Pu8HBylg,Mohan's Tattoo Inn,11,5.0,$$
7,MGPKzvWYsYIk0oRI-iT6MA,Hudson Tattoo Co.,84,4.5,$$
8,1mEGIvSDr1SWJ0eY73c1QQ,Da Vinci Tattoo,43,4.5,$$$
9,yrLDGNfFNCTVg6sviu65YA,Brown Soul Tattoos,6,4.5,$
10,I4Zp7xhhHgFHJ5BxvaU8_Q,Green Apple Tattoo,10,4.5,$$
11,BsaaEiqJj1CbFztqf34mnQ,Inkman Tattoo,18,5.0,$$
12,HuFow5PBXIRHvtPJ0Wzlqg,Ink112 Tattoo Studio,3,5.0,$$$
13,MY7zy8hic9MD6v2Fe51vBA,BANDIT,3,5.0,
14,ojdi4jSwAS7OIuOfYn8y5Q,Hair and tattoo  Wizard Beauty Salon,2,5.0,
15,QwsqcJk9OVf0FCo4OU3RJA,Invisible NYC,45,4.5,$$$
16,x3ZiVJ9_KCHOZ7WmcnH9rg,Smith Street Tattoo Parlour,53,4.5,$$
17,z3nah1ZEp_UoVabkY4tTiQ,Salvation South Tattoo Gallery,10,4.5,$$
18,p4nSCHVMYHMEc4M_gNNg4Q,Last Rites Tattoo Theatre,35,4.5,$$$
19,RQ0ByeCwpL3iUsK96K8aLQ,Lions of Brooklyn,7,5.0,$$$
20,8Lw3NrjFflwO7DlLeFFAzw,Infinity Tattoo NYC & Piercing,76,3.5,$$
21,YgyQ7C5r-0S727DbUvZaFg,Tattoo 8 Tee,16,3.5,$$
22,En6FtAEzZ6gK0XDc_Us5qg,Kings Avenue Tattoo,50,5.0,$$$
23,tv9TH57jSCfvLHyno3aY7A,Hommage Tattoo Studio,2,5.0,
24,uJlEVzdUg9WCKvxGLUUE-Q,Scott Hill Tattoo,23,4.5,$$
25,kCAy_tGabIw-H2wnAel7Gw,Renaissance Tattoo Studio,6,5.0,$$
26,AE7OuFxFV2u0EzlLGfOurA,Sparrow Tattoo,7,4.5,$$$
27,6bxwv2aHOcWNWRdL0RJGvg,Tzar Line Studios,3,5.0,
28,0gmyX138f1C5N5NmILHa8A,De Inkman Tattoo,9,4.5,$$
29,YNuiw3HGkcRAGxev_QDMOw,Nine Moons Piercing,324,5.0,$$
30,RvrhdFFwAW3qO4U7C2Ei7Q,Soho Ink,11,4.0,$$
31,dL94659lH-wlRMgqQYw9TQ,Groove Tattoo,11,5.0,$
32,_yQD0v7-KHrjTNaEgusmdg,Ink Minx,9,4.0,
33,LIsPdvA3RBYfd4NkcGM4bw,Inkology Tattoo Art Gallery,5,4.5,$$$
34,h2tSoGsxjgaSAkgFXbk0YQ,Hoboken Body Art,24,4.0,$$
35,pnMv57I3aBh_UkOFyY_vBA,Twin Moon Creations,12,5.0,$$
36,bQVMddvsiul3MSsIq5wteg,Live by the Sword Tattoo,19,4.0,
37,NiSQtZwOeuT8mx-hyfqQZQ,Murder Ink,1,5.0,$$$
38,DffD1t2m7QHB-4USIDErjA,Undead Ink NY,8,4.0,$$
39,LH_WQPIy2VeRtLJxaEN-NA,MacGibbon Tattoo,4,5.0,$$$
40,JM1Op_qO8w-u8U_Y7Kv-Ng,Fantasy Party Tattoo,23,4.0,$$
41,eAuyIWvS3jpkH1dOqQPa7w,Tikitatu,2,5.0,$$
42,WtYX4wEjHxikkjlkPdQ7Nw,Midnight Ink,1,4.0,
43,2Od2VTIs7zBFVbBOS0BbKw,Under Skin Art,12,5.0,$$
44,2NY3CrnKPDJXl6NmYcUMlA,Root of Evil Tattoos,7,4.0,$$
45,tbv0aKdy06A9niJWpiI4Gg,Picasso Tattoo Studio,3,4.5,
46,9A0HW7qi5guj80F77VYnhg,Tattoo Kingdom,4,5.0,$$
47,ZYRNF8wKJHm36ThYhEFWPA,Gomleshko Studio,11,4.0,$$
48,gDBk0iDENQpnKY2otf4elw,Emma Griffiths Tattoo,3,5.0,
49,gHjSxAGCcrKPibgr607biw,Thailand Mike World,1,5.0,
0,wkkFeJRcXVvtkcnglT9-6w,Brooklyn Ink Tattoo & Body Piercing,65,4.5,$$
1,PWbpkTLr4ek05lRznFnm-Q,Satarah Kreations Ink ,2,5.0,
2,k1Yl0HcpJM-MIXkk1JiVTw,Forever Ink Bar & Tattoo Shop,46,3.5,$$
3,QdcONuP20ShIhtzeBnmVag,Art In Motion Tattoo Studio,12,4.5,$$$
4,7kBuB5o8G22QYjeU3V2WkQ,Lola's Tattoo Shop,27,4.0,$$
5,fSfkGNziU3siSPOLiWi70Q,Scalp Tats NYC,2,5.0,
6,ls1eM6iVFJSzmB_SZWiJ7g,Crown Ink Studio,22,4.5,$$
7,bEKwRuAAk3CYm0MRMFCDKQ,Black Ink Tattoo Studio,55,3.0,$$
8,D1swvcXmC2tImohohnsQzQ,Sugar Hill Tattoo,12,4.0,$$
9,leZ7pNkSOW8Nju3_0nNIHg,Addictive Ink Tattoos,1,5.0,
10,-plotU_YdGxG9TaKCOBrog,Ink Flow Tattoos,8,4.0,$$
11,FiWOdVPC7V0e5L_SUMSZAQ,Dukkha Tattoo,7,5.0,
12,RMkztzmLuYWHOADM7t8Ypw,Har'd Life Ink,3,3.5,$$
13,NUTpET-JrwY8YELspTtcqA,Afflicted Ink,9,5.0,$$
14,jRDuTnQc5Ht6Lt37iKyLGg,Bushwick Tattoo,3,5.0,$$
15,6mqElmTpVPGHEvsgRVsD3g,Inktastic,15,3.0,$$
16,mgdG023Tlinij7nyuplgBA,Sons Of Ink,3,2.5,
